metric_id,指标名称,别名与英文,关联验收题,精确计算公式_字段级,sqlTemplate_绑定变量,params,数据来源_表与字段,现成过程或报表,维度与下钻,时间粒度与界定,边界与例外,参考值_测试库观测,归属与确认
M01,炼钢炉次数,"炉数；冶炼炉次；出钢炉数；heat count","Q01,Q02,Q03,Q04,Q62","COUNT(*)；表=SMS_HEAT；过滤=CRT_TM落在[起,止)；无分母","select count(*) from SMS_HEAT where CRT_TM >= to_date(:date_from,'YYYY-MM-DD') and CRT_TM < to_date(:date_to,'YYYY-MM-DD')+1","date_from,date_to(自然日,闭开区间)","MESAPUSER.SMS_HEAT(CRT_TM,HEAT_NO,STD_STLGRD,CAST_NO,HEAT_STS)","报表:六安SMSA4040炼钢生产时刻表(人工核对入口)；无现成过程","钢种=STD_STLGRD(2024-07空值率61%,下钻须提示空值面)；浇次=CAST_NO","日/月；当前口径=炉次登记时间CRT_TM自然日；是否改用出钢时间待业务确认(J2)","HEAT_STS空(15,472)与'2'(10,506)均计入,状态含义未裁决(J1)；1月/12月各1条边界记录靠时间窗自然排除","稳态月2,850~4,271炉(2024-03~11)","建议归属:炼钢事业部；确认人签字:____；裁决点J1,J2"
M02,板坯切割量_块数,"板坯产量(块)；切割块数；slab count","Q10,Q13,Q57","COUNT(*)；表=SMS_SLAB；过滤=SLAB_CUT_DTM落在[起,止)；无分母","select count(*) from SMS_SLAB where SLAB_CUT_DTM >= :dtm_from and SLAB_CUT_DTM < :dtm_to","dtm_from,dtm_to(YYYYMMDDHH24MISS字符串,字符比较)","MESAPUSER.SMS_SLAB(SLAB_CUT_DTM,SLAB_NO,SLAB_WGT,SLAB_STS,HEAT_NO)","报表:六安SMSA5025板坯切割实绩/SMSA5070生产实绩查询","炉号=HEAT_NO；坯型=PLAN_SLAB_THK/PLAN_SLAB_WTH","班/日/月；SLAB_CUT_DTM为字符列YYYYMMDDHH24MISS","该列仅50,591/147,569非空,覆盖窗2024-03-18~09-28,窗外月份应答'无数据'而非0；SLAB_STS不过滤(2进行/3结束均计)","峰值2024-08 11,208块/月","建议归属:炼钢事业部；确认人签字:____"
M03,板坯切割量_重量,"板坯产量(吨)；坯产量；slab tonnage","Q10,Q13","SUM(SLAB_WGT)；表=SMS_SLAB；过滤同M02；无分母","select round(sum(SLAB_WGT)) from SMS_SLAB where SLAB_CUT_DTM >= :dtm_from and SLAB_CUT_DTM < :dtm_to","dtm_from,dtm_to(同M02)","MESAPUSER.SMS_SLAB(SLAB_WGT)","同M02","同M02","同M02","SLAB_WGT单位=吨[推断,均值11~12吨/块与板坯自重一致,待计量确认J13]；重量NULL的行计块数不计吨并提示缺数","2024-07 114,960吨","建议归属:炼钢事业部；确认人签字:____；裁决点J13"
M04,板坯平均单重,"平均坯重；avg slab weight","Q11,Q51,Q63","SUM(SLAB_WGT)/COUNT(*)；表=SMS_SLAB；过滤同M02","select round(sum(SLAB_WGT)/nullif(count(*),0),2) from SMS_SLAB where SLAB_CUT_DTM >= :dtm_from and SLAB_CUT_DTM < :dtm_to","dtm_from,dtm_to(同M02)","MESAPUSER.SMS_SLAB(SLAB_WGT,SLAB_CUT_DTM)","无","坯型=PLAN_SLAB_THK/WTH(单重差异主因)","日/月","除零:窗口内无记录返回无数据(nullif防除零),不返回0","3月14.70吨→5月10.60吨→6~9月11.2~12.0吨平台","建议归属:炼钢事业部；确认人签字:____"
M05,钢板完工量_块数,"完工块数；产量(块)；plate output count","Q15,Q16,Q22,Q59","COUNT(*)；表=SPR_PLATE；过滤=FIN_SUMUP_DT落在[起,止)；无分母","select count(*) from SPR_PLATE where FIN_SUMUP_DT >= :d_from and FIN_SUMUP_DT < :d_to","d_from,d_to(YYYYMMDD 8位字符,字符比较)","MESAPUSER.SPR_PLATE(FIN_SUMUP_DT,PLT_NO,PLT_WGT,STD_STLGRD,PLT_THK)","报表:六安SPRE0030中厚板轧制量管理/SPRE0006入库量明细(计产时间口径)","钢种=STD_STLGRD(覆盖324,776/326,095)；厚度=PLT_THK；加热炉号需join SPR_FCE_CHARGE","日/月；FIN_SUMUP_DT=精整完工计产日(汇总日概念,非物理完工时刻FIN_END_DTM,两者差异待业务确认J14)","FIN_SUMUP_DT空61,295行不计入；2025-08脏尾巴35条须窗口过滤(D6)；表内含母板(PLT_NO 9位)与子板(13位)两类行,完工量是否仅计子板待裁决(J3)","平台期3.5万~4.0万块/月(2024-05~09)","建议归属:轧钢事业部；确认人签字:____；裁决点J3,J14"
M06,钢板完工量_重量,"完工吨位；产量(吨)；plate output tonnage","Q15,Q17,Q22","SUM(PLT_WGT)；表=SPR_PLATE；过滤同M05；无分母","select round(sum(PLT_WGT)) from SPR_PLATE where FIN_SUMUP_DT >= :d_from and FIN_SUMUP_DT < :d_to","d_from,d_to(同M05)","MESAPUSER.SPR_PLATE(PLT_WGT)","同M05","同M05","同M05","PLT_WGT单位=吨[推断,均值5.7吨/板与中厚板单板重一致,待计量确认J13]；注意块数榜与吨位榜可背离(2024按块数7月最高/按吨位6月最高),回答前先确认口径","20万~22.9万吨/月(2024-05~09)","建议归属:轧钢事业部；确认人签字:____；裁决点J13"
M07,加热炉装炉量,"装炉块数；装炉量；furnace charge count","Q18,Q19,Q47","COUNT(*)；表=SPR_FCE_CHARGE；过滤=CH_DTM落在[起,止)；无分母","select count(*) from SPR_FCE_CHARGE where CH_DTM >= :dtm_from and CH_DTM < :dtm_to","dtm_from,dtm_to(YYYYMMDDHH24MISS字符串)","MESAPUSER.SPR_FCE_CHARGE(CH_DTM,FCE_NO,SLAB_NO,PLT_NO)","界面:六安SPRB0110加热炉实绩查询及录入","加热炉座=FCE_NO(1#/2#两座)","班/日/月；CH_DTM为L2报文时刻","1970纪元占位357条须窗口过滤(D6)；该表为二级报文面,'取消装炉'操作是否物理回删待核(J4)","稳态1.2万~1.5万块/月；2024-10仅5,200块为异常点(检修候选)","建议归属:轧钢事业部；确认人签字:____；裁决点J4"
M08,化学判定不合格率,"成分不合格率；化学合格率(=1-本值)；chem fail rate","Q07,Q08,Q09,Q28,Q43,Q58","分子=COUNT(CHEM_JUDG='F')；分母=COUNT(CHEM_JUDG IN('P','F'))；表=SQM_CHEM_JDG；时间过滤=CHEM_JUDG_DTM落在[起,止)","select round(sum(case when CHEM_JUDG='F' then 1 else 0 end)/nullif(count(*),0)*100,2) from SQM_CHEM_JDG where CHEM_JUDG in ('P','F') and CHEM_JUDG_DTM >= :dtm_from and CHEM_JUDG_DTM < :dtm_to","dtm_from,dtm_to(YYYYMMDDHH24MISS字符串)","MESAPUSER.SQM_CHEM_JDG(CHEM_JUDG,CHEM_JUDG_DTM,CHEM_CD,MTRL_NO；实测值取老列CHEM_RSLT/CHEM_MIN/CHEM_MAX)","界面:六安SQMO1020钢坯成分判定查询/SQMO1030判定及处理；报表:SQMQ1360炼钢质量综合","元素=CHEM_CD(经VW_SQM_DSN_CHEM_CODE翻译)；炉号=MTRL_NO","日/月；按判定时刻CHEM_JUDG_DTM,非取样时刻","未判定NULL(375,271条)不进分母；实测值必须取老列,CHEM_*2新列全空(D2)；F中870条无实测值仍按判定标记计入(D3)；同炉同元素存在JDG_SEQ多次判定,当前口径=按记录条数,若按最终判定需取max(JDG_SEQ)待裁决(J5)；2024-10起F=0为口径突变段禁用于趋势(D4)；除零返回无数据","稳态月1.2%~3.9%；爬坡月最高15.4%(2024-03)","建议归属:品质部；确认人签字:____；裁决点J5"
M09,化学不合格元素TopN,"不合格元素分布；失控元素排名","Q29,Q44","按CHEM_CD分组COUNT(*)取前N；表=SQM_CHEM_JDG；过滤=CHEM_JUDG='F'+时间窗；元素名join VW_SQM_DSN_CHEM_CODE","select c.QLT_CHEM_DISP_FORM, x.cnt from (select CHEM_CD, count(*) cnt from SQM_CHEM_JDG where CHEM_JUDG='F' and CHEM_JUDG_DTM >= :dtm_from and CHEM_JUDG_DTM < :dtm_to group by CHEM_CD order by cnt desc fetch first :top_n rows only) x join VW_SQM_DSN_CHEM_CODE c on c.QLT_CHEM_CD=x.CHEM_CD order by x.cnt desc","dtm_from,dtm_to,top_n","MESAPUSER.SQM_CHEM_JDG(CHEM_CD)+VW_SQM_DSN_CHEM_CODE(QLT_CHEM_CD,QLT_CHEM_DISP_FORM)","同M08","元素码表:V01=C,V02=Si,V03=Mn,V04=P,V05=S等","日/月","同M08各边界","全窗Top3=Mn 1,252/C 1,177/Si 739,方向以低于下限为主[抽样]","建议归属:品质部；确认人签字:____"
M10,化学不合格炉次数,"不合格炉数；fail heat count","Q08","COUNT(DISTINCT MTRL_NO)；表=SQM_CHEM_JDG；过滤=CHEM_JUDG='F'+时间窗","select count(distinct MTRL_NO) from SQM_CHEM_JDG where CHEM_JUDG='F' and CHEM_JUDG_DTM >= :dtm_from and CHEM_JUDG_DTM < :dtm_to","dtm_from,dtm_to","MESAPUSER.SQM_CHEM_JDG(MTRL_NO)","同M08","无下钻(炉次即最细粒度)","日/月","MTRL_NO主体=炼钢炉号(36.2万/49.2万条可与SMS_HEAT.HEAT_NO对上=73.5%),库内炉号编号族5~10位并存,其余26.5%对应关系待核(J6)","2024-07为659个炉次","建议归属:品质部；确认人签字:____；裁决点J6"
